"order";"id";"SCI_CODE";"NUMBER";"ACTION";"BAND";"PRECISE";"BIRD";"GENDER";"ATLAS";"PAIRS";"REMARKS";"LON";"LAT";"YEAR";"DATE";"OBSRVR";"SITE";"COUNTY"
"5908";"3816";"SYLBOR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"27,32626";"58,23220";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5909";"3816";"SYLBOR";"1";"s";"2";TRUE;TRUE;;"l";"1";;"27,32533";"58,23217";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5910";"3816";"PHYLUS";"1";"s";"1";TRUE;TRUE;;"l";"1";;"27,32592";"58,23256";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5911";"3816";"EMBCIT";"1";"s";"2";TRUE;TRUE;;"l";"1";;"27,32637";"58,23268";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5912";"3816";"ERIRUB";"1";"s";"2";TRUE;TRUE;;"l";"1";;"27,32547";"58,23293";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5913";"3816";"SYLBOR";"1";"s";"2";TRUE;TRUE;;"l";"1";;"27,32325";"58,23298";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5914";"3816";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"27,32385";"58,23300";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5915";"3816";"MUSSTR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"27,32346";"58,23339";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5916";"3816";"PHYCOL";"1";"s";"2";TRUE;TRUE;;"l";"1";;"27,32391";"58,23351";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5917";"3816";"PARMAJ";"1";"p";"3";TRUE;TRUE;;"v";"1";;"27,32464";"58,23363";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5918";"3816";"STUVUL";"1";"p";"3";TRUE;TRUE;;"v";"1";;"27,32528";"58,23345";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5919";"3816";"ALAARV";"1";"s";"3";TRUE;TRUE;;"l";"1";;"27,32439";"58,23451";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5920";"3816";"EMBCIT";"1";"p";"3";TRUE;TRUE;;"v";"1";;"27,32352";"58,23437";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5921";"3816";"HIRRUS";"1";"ü";"3";TRUE;TRUE;;"v";"1";;"27,32399";"58,23413";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5922";"3816";"GRUGRU";"1";"s";"3";FALSE;TRUE;;"l";"1";;"27,32208";"58,23064";"2022";"2022-05-29";"Art-Villem Adojaan";"Meeksi Sikakurmu";"Põlva maakond"
"5923";"3818";"LUSLUS";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32361";"58,43247";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5924";"3818";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32532";"58,43266";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5925";"3818";"ERIRUB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32559";"58,43283";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5926";"3818";"MUSSTR";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32605";"58,43304";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5927";"3818";"PHYSIB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32541";"58,43314";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5928";"3818";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32521";"58,43322";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5929";"3818";"POEPAL";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32489";"58,43352";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5930";"3818";"TURMER";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32646";"58,43350";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5931";"3818";"FRICOE";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32778";"58,43352";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5932";"3818";"FRICOE";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32510";"58,43431";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5933";"3818";"ERIRUB";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32340";"58,43386";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5934";"3818";"LUSLUS";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32248";"58,43396";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5935";"3818";"FICHYP";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32378";"58,43492";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5936";"3818";"ERIRUB";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32432";"58,43515";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5937";"3818";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32252";"58,43477";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5938";"3818";"PHYSIB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32306";"58,43510";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5939";"3818";"CUCCAN";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32033";"58,43511";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5940";"3818";"PHYCOL";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32147";"58,43506";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5941";"3818";"FICHYP";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32141";"58,43571";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5942";"3818";"SYLBOR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32246";"58,43562";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5943";"3818";"CURCUR";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32281";"58,43586";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5944";"3818";"PHYSIB";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32323";"58,43628";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5945";"3818";"REGREG";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32449";"58,43388";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5946";"3818";"REGREG";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32245";"58,43614";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5947";"3818";"TURMER";"1";"h";"1";TRUE;TRUE;;"R";"1";;"26,32211";"58,43601";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5948";"3818";"PYRULA";"1";"h";"2";TRUE;TRUE;"M";"v";"1";;"26,32200";"58,43652";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5949";"3818";"FRICOE";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32259";"58,43672";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5950";"3818";"TURMER";"1";"s";"3";TRUE;TRUE;;"l";"1";;"26,32239";"58,43730";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5951";"3818";"PHYCOL";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32076";"58,43670";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5952";"3818";"SYLATR";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32142";"58,43700";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5953";"3818";"COLPAL";"1";"s";"3";FALSE;TRUE;;"l";"1";;"26,32351";"58,43762";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5954";"3818";"FICHYP";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32076";"58,43703";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5955";"3818";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32000";"58,43701";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5956";"3818";"REGREG";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32111";"58,43731";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5957";"3818";"SPISPI";"1";"s";"1";TRUE;TRUE;;"l";"1";;"26,32012";"58,43744";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
"5958";"3818";"PHYLUS";"1";"s";"2";TRUE;TRUE;;"l";"1";;"26,32085";"58,43751";"2022";"2022-05-30";"Art-Villem Adojaan";"Laeva Valmaotsa";"Tartu maakond"
