"order";"id";"SCI_CODE";"NUMBER";"ACTION";"BAND";"PRECISE";"BIRD";"GENDER";"ATLAS";"PAIRS";"REMARKS";"LON";"LAT";"YEAR";"DATE";"OBSRVR";"SITE";"COUNTY"
"1";"3686";"ACRDUM";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,50919";"58,77018";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"2";"3686";"HIPICT";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,50950";"58,77052";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"3";"3686";"CORNIX";"1";"p";"1";TRUE;TRUE;;"v";"1";;"25,51082";"58,77068";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"4";"3686";"ACRRIS";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,51051";"58,77039";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"5";"3686";"CURCOM";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,51102";"58,77035";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"6";"3686";"EMBCIT";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,51160";"58,77028";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"7";"3686";"PRUMOD";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,51142";"58,76995";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"8";"3686";"ANTTRI";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,51111";"58,76951";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"9";"3686";"PHYSIB";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,51294";"58,76901";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"10";"3686";"TROTRO";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,51320";"58,76870";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"11";"3686";"ERIRUB";"1";"p";"1";TRUE;TRUE;;"HR";"1";;"25,51165";"58,76848";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"12";"3686";"REGREG";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,51192";"58,76815";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"13";"3686";"TURPHI";"1";"h";"1";TRUE;TRUE;;"v";"1";;"25,51213";"58,76794";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"14";"3686";"BUTBUT";"1";"ü";"3";TRUE;TRUE;;"v";"1";;"25,51518";"58,77037";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"15";"3686";"ALAARV";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,51416";"58,76990";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"16";"3686";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,51288";"58,76806";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"17";"3686";"PHYLUS";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,51264";"58,76784";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"18";"3686";"EMBCIT";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,51882";"58,76836";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"19";"3686";"PHYSIB";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,51190";"58,76761";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"20";"3686";"ANTTRI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,51135";"58,76709";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"21";"3686";"TURPIL";"1";"h";"3";TRUE;TRUE;;"v";"1";;"25,51164";"58,76682";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
"22";"3686";"CERFAM";"1";"h";"2";TRUE;TRUE;;"v";"1";;"25,51254";"58,76647";"2021";"2021-06-06";"Johannes Silvonen";"Oisu Raukla";"Järva"
