"order";"id";"TRANSECT NAME";"OBSRVR";"COUNTY";"DATE";"TIME START";"TIME FINISH";"START CORNER";"MOVEMENT DIRECTION FROM START";"START FROM SE-CORNER CLOCKWISE";"DISTANCE COVERED";"ACTUAL TRANSECT LENGTH";"COUNT_YEAR";"DATE DIFFERENCE TO LAST COUNT (+/- DAYS)";"YEARS FROM LAST COUNT";"SAME OBSERVER THAN LAST TIME?";"Imetajad loetud y/n";"INFO1";"INFO2";"ATLAS_SQUARE";"I";"SELGITUSTÖÖ"
"209";"093";"Kiviküla";"Tarmo Evestus";"Valga";"2021-05-28";"04:50";"07:20";"SE";"päripäeva";"0";"4,00";"4,00";"2021";"-3";"14";"yes";"n";"abiriba pole ilmselt loendatud, sest pea kõik vaatlused on põhi ja vaheribadel.";;;"I";
"384";"094";"Särgla";"Liis Keerberg";"Tartu";"2024-06-14";"04:49";"08:24";;"vastupäeva";"3100";"3,10";"4,00";"2024";"12";"20";"no";"n";"Loendusmeetrid 1300-2200 oli jäetud jõe pärast tegemata, kuigi sild oli lähedal. 2004. aastal oli loetud jõe teist poolt veidi kuid peamiselt samuti mitte. Lisaks 2004 oli asendatud lugemata jäänud osa mõned sajad meetrid muutes transekti trajektoori Kääpa jõe suunaliselt meetritel 1000 kuni 1300. Selle transekti andmeid pole soovitatav kaasata aastatest 2004 ja 2024 trendide arvutamisesse. Transekti saaks vabalt praegusel kujul kogunisti lugeda, sest ainult 500m kaugusel transekti nurgapunktist on sild.";;;"I";
"210";"095";"Järveküla";"Liisi Peets";"Tartu";"2021-06-05";"04:10";"07:21";"SE";"päripäeva";"0";"4,00";"4,00";"2021";"1";"13";"no";"n";;;;"I";
"211";"096";"Rääka";"Annabel Runnel";"Viljandi";"2022-06-07";"04:50";"08:47";"NE+550m";"päripäeva";"3550";"4,00";"4,00";"2022";"4";"16";"no";"n";;;;"I";
"212";"097";"Ülenurme";"Riho Kinks";"Tartu";"2021-06-03";"04:10";"08:45";"NW";"vastupäeva";"2000";"4,00";"4,00";"2021";;"13";"yes";"n";"takistuste tõttu transekti loetud paar korda paralleelselt originaalist eemal. Pikkus jäi samaks.  Et jätkus korrata, vaata selle transekti töökaarti.";;;"I";
"385";"098";"Piibe";"Pelle Mellov";"Lääne-Viru";"2024-06-05";"04:21";"09:19";;"vastupäeva";"3000";"4,00";"4,00";"2024";"8";"20";"no";"n";;;;"I";
"213";"099";"Võtikvere";"Eerik Leibak";"Jõgeva";"2023-06-01";"04:15";"08:00";"SE+2450";"vastupäeva";"2450";"4,00";"4,00";"2023";"0";"15";"yes";"n";;;;"I";
"214";"100";"Vätta";"Mati Martinson";"Saare";"2022-06-07";"05:20";"09:45";"NE+400m";"päripäeva";"3400";"4,00";"4,00";"2022";"8";"16";"yes";"n";;;;"I";
"386";"101";"Kureküla";"Veljo Volke";"Tartu";"2024-06-09";"05:05";"07:08";;"päripäeva";"0";"4,00";"4,00";"2024";"4";"16";"no";"n";;;;"I";
"215";"102";"Pilpa";"Tarmo Evestus";"Valga";"2021-05-25";"04:35";"06:55";"SE";"päripäeva";"0";"4,00";"4,00";"2021";"1";"14";"yes";"n";"abiriba pole ilmselt loendatud, sest pea kõik vaatlused on põhi ja vaheribadel.";;;"I";
