"order";"id";"SCI_CODE";"NUMBER";"ACTION";"BAND";"PRECISE";"BIRD";"GENDER";"ATLAS";"PAIRS";"REMARKS";"LON";"LAT";"YEAR";"DATE";"OBSRVR";"SITE";"COUNTY"
"35";"2";"TROTRO";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11665";"58,04739";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"36";"2";"CUCCAN";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,11512";"58,04715";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"37";"2";"COLPAL";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,11488";"58,04690";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"38";"2";"SYLBOR";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11803";"58,04571";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"39";"2";"ERIRUB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11757";"58,04577";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"40";"2";"PHYCOL";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11706";"58,04563";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"41";"2";"TURMER";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11680";"58,04548";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"42";"2";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11686";"58,04517";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"43";"2";"TURMER";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11670";"58,04500";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"44";"2";"CERFAM";"1";"h";"3";TRUE;TRUE;;"v";"1";;"22,11593";"58,04381";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"45";"2";"PHYCOL";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11776";"58,04396";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"46";"2";"SYLBOR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11722";"58,04384";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"47";"2";"ERIRUB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11723";"58,04369";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
